<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US2.AAPL,15,20090102,94500,85.62,86.93,85.16,86.73
US2.AAPL,15,20090102,100000,86.74,87.3,86.65,86.98
US2.AAPL,15,20090102,101500,86.95,87.23,86.81,87.16
US2.AAPL,15,20090102,103000,87.15,87.24,86.67,87.02
US2.AAPL,15,20090102,104500,87.02,87.64,86.87,87.53
US2.AAPL,15,20090102,110000,87.51,87.86,87.51,87.56
US2.AAPL,15,20090102,111500,87.58,87.81,87.4,87.54
US2.AAPL,15,20090102,113000,87.53,87.89,87.31,87.82
US2.AAPL,15,20090102,114500,87.8,88.1,87.72,87.88
US2.AAPL,15,20090102,120000,87.88,88.1,87.78,88.04
US2.AAPL,15,20090102,121500,88.03,88.85,87.91,88.7699
US2.AAPL,15,20090102,123000,88.73,89.44,88.58,89.42
US2.AAPL,15,20090102,124500,89.41,89.78,89.34,89.55
US2.AAPL,15,20090102,130000,89.55,89.7,89.25,89.45
US2.AAPL,15,20090102,131500,89.45,89.72,89.25,89.6599
US2.AAPL,15,20090102,133000,89.64,89.7,89.39,89.56
US2.AAPL,15,20090102,134500,89.56,89.89,89.55,89.7678
US2.AAPL,15,20090102,140000,89.77,89.88,89.47,89.55
US2.AAPL,15,20090102,141500,89.57,89.6,89.32,89.52
US2.AAPL,15,20090102,143000,89.52,89.95,89.47,89.89
US2.AAPL,15,20090102,144500,89.9,90,89.75,89.77
US2.AAPL,15,20090102,150000,89.79,89.99,89.76,89.97
US2.AAPL,15,20090102,151500,89.97,90.3,89.97,90.232
US2.AAPL,15,20090102,153000,90.25,90.69,90.245,90.6
US2.AAPL,15,20090102,154500,90.6,90.97,90.45,90.79
US2.AAPL,15,20090102,160000,90.7801,91.04,90.43,90.68
US2.AAPL,15,20090105,94500,93.2,94.56,92.71,94.23
US2.AAPL,15,20090105,100000,94.23,94.31,93.34,93.45
US2.AAPL,15,20090105,101500,93.45,93.78,93.01,93.741
US2.AAPL,15,20090105,103000,93.76,94.18,93.3,94.1
US2.AAPL,15,20090105,104500,94.11,94.78,93.94,94.61
US2.AAPL,15,20090105,110000,94.61,94.91,94.46,94.52
US2.AAPL,15,20090105,111500,94.51,94.92,94.44,94.68
US2.AAPL,15,20090105,113000,94.68,94.95,94.3,94.46
US2.AAPL,15,20090105,114500,94.44,94.75,94.21,94.6899
US2.AAPL,15,20090105,120000,94.67,94.8,94.2,94.26
US2.AAPL,15,20090105,121500,94.24,94.68,94.22,94.58
US2.AAPL,15,20090105,123000,94.59,95.3,94.56,95.08
US2.AAPL,15,20090105,124500,95.08,95.09,94.62,94.64
US2.AAPL,15,20090105,130000,94.63,95.14,94.62,95.08
US2.AAPL,15,20090105,131500,95.09,95.24,94.87,95.04
US2.AAPL,15,20090105,133000,95.04,95.67,94.9,95.51
US2.AAPL,15,20090105,134500,95.47,95.56,94.98,95.37
US2.AAPL,15,20090105,140000,95.38,95.86,95.3,95.8354
US2.AAPL,15,20090105,141500,95.83,96,95.65,95.74
US2.AAPL,15,20090105,143000,95.75,96.18,95.71,95.92
US2.AAPL,15,20090105,144500,95.9,95.97,95.65,95.68
US2.AAPL,15,20090105,150000,95.68,95.72,94.1,94.6
US2.AAPL,15,20090105,151500,94.58,95.3,94.53,94.8
US2.AAPL,15,20090105,153000,94.81,95.12,94.28,94.42
US2.AAPL,15,20090105,154500,94.42,94.98,94.35,94.58
US2.AAPL,15,20090105,160000,94.57,94.79,94.42,94.6
US2.AAPL,15,20090106,94500,95.87,96.43,95.28,96.01
US2.AAPL,15,20090106,100000,96.001,96.57,95.83,96.03
US2.AAPL,15,20090106,101500,96.02,96.94,95.76,96.91
US2.AAPL,15,20090106,103000,96.91,97.17,96.63,96.89
US2.AAPL,15,20090106,104500,96.89,96.91,96.28,96.39
US2.AAPL,15,20090106,110000,96.3899,96.4,95.8,95.97
US2.AAPL,15,20090106,111500,95.99,96.09,95.37,95.57
US2.AAPL,15,20090106,113000,95.55,96.1,95.42,95.42
US2.AAPL,15,20090106,114500,95.44,96.04,95.44,95.95
US2.AAPL,15,20090106,120000,95.93,96.03,95.65,95.79
US2.AAPL,15,20090106,121500,95.82,96.21,95.57,96.05
US2.AAPL,15,20090106,123000,96.05,96.1,95.76,95.79
US2.AAPL,15,20090106,124500,95.79,96.32,95.75,96.11
US2.AAPL,15,20090106,130000,96.11,96.79,96.03,96.35
US2.AAPL,15,20090106,131500,96.337,96.37,94.76,94.85
US2.AAPL,15,20090106,133000,94.82,95.45,94.65,94.95
US2.AAPL,15,20090106,134500,94.95,95.09,93.22,93.57
US2.AAPL,15,20090106,140000,93.57,93.85,93.12,93.49
US2.AAPL,15,20090106,141500,93.51,93.64,92.8,93.49
US2.AAPL,15,20090106,143000,93.49,94,93.46,93.78
US2.AAPL,15,20090106,144500,93.76,94.05,93.6,93.83
US2.AAPL,15,20090106,150000,93.8344,94.13,93.7,93.94
US2.AAPL,15,20090106,151500,93.96,94,93.14,93.3658
US2.AAPL,15,20090106,153000,93.3699,93.47,92.6,92.66
US2.AAPL,15,20090106,154500,92.67,93.04,92.39,92.96
US2.AAPL,15,20090106,160000,92.98,93.23,92.75,93
US2.AAPL,15,20090107,94500,91.8,91.81,90.68,91.01
US2.AAPL,15,20090107,100000,91.01,92.26,90.97,92.12
US2.AAPL,15,20090107,101500,92.13,92.34,90.77,90.91
US2.AAPL,15,20090107,103000,90.91,91.06,90.52,90.9
US2.AAPL,15,20090107,104500,90.88,91.54,90.5,91.3801
US2.AAPL,15,20090107,110000,91.37,91.73,91.2,91.62
US2.AAPL,15,20090107,111500,91.62,91.98,91.5,91.72
US2.AAPL,15,20090107,113000,91.74,91.97,91.45,91.58
US2.AAPL,15,20090107,114500,91.57,91.89,91.27,91.8
US2.AAPL,15,20090107,120000,91.81,92.15,91.58,91.67
US2.AAPL,15,20090107,121500,91.68,91.8,91.45,91.64
US2.AAPL,15,20090107,123000,91.65,91.98,91.58,91.93
US2.AAPL,15,20090107,124500,91.95,92.5,91.76,92.14
US2.AAPL,15,20090107,130000,92.13,92.24,91.86,92
US2.AAPL,15,20090107,131500,92.02,92.14,91.65,91.7201
US2.AAPL,15,20090107,133000,91.72,92.06,91.53,91.56
US2.AAPL,15,20090107,134500,91.55,91.84,91.35,91.39
US2.AAPL,15,20090107,140000,91.36,91.38,90.87,90.919
US2.AAPL,15,20090107,141500,90.91,91.27,90.86,91.13
US2.AAPL,15,20090107,143000,91.11,91.1122,90.44,90.68
US2.AAPL,15,20090107,144500,90.69,90.99,90.37,90.8844
US2.AAPL,15,20090107,150000,90.88,90.94,90.59,90.79
US2.AAPL,15,20090107,151500,90.78,90.9,90.26,90.49
US2.AAPL,15,20090107,153000,90.49,90.99,90.33,90.88
US2.AAPL,15,20090107,154500,90.88,90.98,90.43,90.67
US2.AAPL,15,20090107,160000,90.67,91,90.47,91
US2.AAPL,15,20090108,94500,90.5,91.72,90.4,91.41
US2.AAPL,15,20090108,100000,91.39,91.42,90.78,90.83
US2.AAPL,15,20090108,101500,90.83,91.08,90.35,90.499
US2.AAPL,15,20090108,103000,90.47,90.58,90.04,90.5
US2.AAPL,15,20090108,104500,90.49,90.95,90.25,90.81
US2.AAPL,15,20090108,110000,90.83,91.28,90.77,91.18
US2.AAPL,15,20090108,111500,91.2,91.5,91.1,91.2
US2.AAPL,15,20090108,113000,91.21,91.4,90.87,90.88
US2.AAPL,15,20090108,114500,90.89,91.14,90.66,91.12
US2.AAPL,15,20090108,120000,91.1,91.13,90.55,90.78
US2.AAPL,15,20090108,121500,90.79,91.16,90.66,91.13
US2.AAPL,15,20090108,123000,91.12,91.19,90.81,90.93
US2.AAPL,15,20090108,124500,90.93,91.3,90.83,91.28
US2.AAPL,15,20090108,130000,91.272,91.82,91.26,91.62
US2.AAPL,15,20090108,131500,91.606,91.69,90.85,90.9
US2.AAPL,15,20090108,133000,90.91,91.36,90.86,91.09
US2.AAPL,15,20090108,134500,91.11,91.55,90.91,91.54
US2.AAPL,15,20090108,140000,91.55,91.65,91.22,91.45
US2.AAPL,15,20090108,141500,91.44,92.07,91.31,92.03
US2.AAPL,15,20090108,143000,92.02,92.44,92.02,92.25
US2.AAPL,15,20090108,144500,92.25,92.45,91.84,92.42
US2.AAPL,15,20090108,150000,92.4202,93.06,92.4,92.8401
US2.AAPL,15,20090108,151500,92.84,93.15,92.22,92.3
US2.AAPL,15,20090108,153000,92.31,92.71,92.2,92.47
US2.AAPL,15,20090108,154500,92.47,92.55,92.04,92.501
US2.AAPL,15,20090108,160000,92.5125,92.86,92.31,92.8
US2.AAPL,15,20090109,94500,93.3,93.38,91.44,91.5699
US2.AAPL,15,20090109,100000,91.53,91.83,90.9,90.94
US2.AAPL,15,20090109,101500,90.95,91.37,90.71,91
US2.AAPL,15,20090109,103000,90.9766,91.02,90.39,90.57
US2.AAPL,15,20090109,104500,90.57,90.89,90.14,90.69
US2.AAPL,15,20090109,110000,90.69,90.99,90.5,90.55
US2.AAPL,15,20090109,111500,90.54,91.09,90.5,90.69
US2.AAPL,15,20090109,113000,90.69,90.9688,90.42,90.73
US2.AAPL,15,20090109,114500,90.73,90.9,90.38,90.43
US2.AAPL,15,20090109,120000,90.44,90.62,90.25,90.54
US2.AAPL,15,20090109,121500,90.5388,90.95,90.421,90.69
US2.AAPL,15,20090109,123000,90.7,90.9,90.6,90.71
US2.AAPL,15,20090109,124500,90.71,90.9,90.6,90.8001
US2.AAPL,15,20090109,130000,90.8,91,90.8,90.86
US2.AAPL,15,20090109,131500,90.86,91.22,90.65,90.75
US2.AAPL,15,20090109,133000,90.73,90.82,90.5,90.77
US2.AAPL,15,20090109,134500,90.77,91.38,90.56,91.21
US2.AAPL,15,20090109,140000,91.2,91.35,90.83,90.98
US2.AAPL,15,20090109,141500,90.98,91.3,90.98,91.16
US2.AAPL,15,20090109,143000,91.1698,91.53,91.12,91.31
US2.AAPL,15,20090109,144500,91.31,91.67,91.22,91.5175
US2.AAPL,15,20090109,150000,91.521,91.75,91.3,91.44
US2.AAPL,15,20090109,151500,91.44,91.63,90.72,90.91
US2.AAPL,15,20090109,153000,90.9,90.99,90.55,90.77
US2.AAPL,15,20090109,154500,90.75,91.2,90.73,91.14
US2.AAPL,15,20090109,160000,91.16,91.19,90.27,90.58
US2.AAPL,15,20090112,94500,90.46,90.99,89.5,90.19
US2.AAPL,15,20090112,100000,90.22,90.7,89.73,90.45
US2.AAPL,15,20090112,101500,90.47,90.5,89.52,89.64
US2.AAPL,15,20090112,103000,89.65,89.82,89.25,89.63
US2.AAPL,15,20090112,104500,89.63,89.77,89.26,89.37
US2.AAPL,15,20090112,110000,89.37,89.53,89.22,89.33
US2.AAPL,15,20090112,111500,89.35,89.56,89.14,89.16
US2.AAPL,15,20090112,113000,89.152,89.2,88.9,88.98
US2.AAPL,15,20090112,114500,88.97,88.99,88.4,88.52
US2.AAPL,15,20090112,120000,88.53,88.53,88.13,88.2
US2.AAPL,15,20090112,121500,88.2,88.38,87.99,88.31
US2.AAPL,15,20090112,123000,88.3197,88.5389,88.29,88.34
US2.AAPL,15,20090112,124500,88.37,88.73,88.35,88.42
US2.AAPL,15,20090112,130000,88.41,88.45,88.18,88.29
US2.AAPL,15,20090112,131500,88.28,88.52,88.16,88.4301
