<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20090601;103000;11.4500000;11.5000000;11.3200000;11.4900000;7613181
20090601;104500;11.5000000;11.7500000;11.4900000;11.6600000;8487432
20090601;110000;11.6600000;11.7400000;11.5700000;11.6200000;4291865
20090601;111500;11.6108000;11.7200000;11.6100000;11.6200000;3911984
20090601;113000;11.6200000;11.7200000;11.5600000;11.6650000;4942482
20090601;114500;11.6676000;11.7300000;11.6300000;11.7050000;4265656
20090601;120000;11.6918000;11.7200000;11.6500000;11.6600000;3733808
20090601;121500;11.6584000;11.6800000;11.6000000;11.6502000;3864456
20090601;123000;11.6600000;11.6700000;11.6000000;11.6700000;3066814
20090601;124500;11.6700000;11.6700000;11.6100000;11.6500000;3230659
20090601;130000;11.6500000;11.6800000;11.6300000;11.6680000;3358881
20090601;131500;11.6700000;11.6800000;11.6300000;11.6400000;2949608
20090601;133000;11.6400000;11.6800000;11.6300000;11.6600000;2714105
20090601;134500;11.6600000;11.6900000;11.6200000;11.6508000;2758765
20090601;140000;11.6500000;11.6600000;11.6200000;11.6400000;2788072
20090601;141500;11.6500000;11.6600000;11.6400000;11.6600000;1663535
20090601;143000;11.6600000;11.6900000;11.6500000;11.6900000;2980545
20090601;144500;11.6900000;11.7200000;11.6620000;11.7199000;5809462
20090601;150000;11.7120000;11.7200000;11.5800000;11.5900000;5557694
20090601;151500;11.5800000;11.6300000;11.5500000;11.5900000;4794064
20090601;153000;11.5600000;11.5800000;11.4799000;11.5280000;6684044
20090601;154500;11.5300000;11.5500000;11.4100000;11.5200000;8373519
20090601;160000;11.5200000;11.5300000;11.4100000;11.4100000;5424995
20090601;161500;11.4200000;11.5100000;11.4100000;11.5100000;4976620
20090601;163000;11.5100000;11.5200000;11.4900000;11.5000000;373484
20090602;103000;11.2000000;11.3200000;11.1000000;11.2500000;5248199
20090602;104500;11.2500000;11.3400000;11.1700000;11.3200000;6375133
20090602;110000;11.3192000;11.4500000;11.3100000;11.3500000;3913259
20090602;111500;11.3580000;11.4000000;11.3000000;11.3200000;2540658
20090602;113000;11.3200000;11.3501000;11.2426000;11.3000000;3157204
20090602;114500;11.2900000;11.3000000;11.1600000;11.2300000;4366980
20090602;120000;11.2200000;11.2700000;11.2200000;11.2500000;2817327
20090602;121500;11.2500000;11.3000000;11.2000000;11.2700000;2941101
20090602;123000;11.2700000;11.3200000;11.2400000;11.3200000;2336145
20090602;124500;11.3200000;11.3900000;11.3100000;11.3600000;5052503
20090602;130000;11.3509000;11.4400000;11.3500000;11.4400000;5612606
20090602;131500;11.4400000;11.4800000;11.3300000;11.3700000;6328614
20090602;133000;11.3600000;11.4300000;11.3600000;11.4000000;3378343
20090602;134500;11.3980000;11.4100000;11.3400000;11.3880000;3296134
20090602;140000;11.3800000;11.4300000;11.3500000;11.4200000;4505405
20090602;141500;11.4300000;11.4500000;11.3800000;11.4399000;2901476
20090602;143000;11.4400000;11.5100000;11.4300000;11.4509000;6719158
20090602;144500;11.4600000;11.4700000;11.3900000;11.4400000;3617671
