<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.NVDA,15,20110301,151500,21.65,21.65,21.65,21.65
US1.NVDA,15,20110310,93000,18.531,18.6,18.53,18.6
US1.NVDA,15,20110310,94500,18.59,18.595,18.5,18.54
US1.NVDA,15,20110316,151500,17.53,17.53,17.53,17.53
US1.NVDA,15,20110317,84500,18,18.03,17.84,17.86
US1.NVDA,15,20110317,90000,17.51,17.5582,17.51,17.51
US1.NVDA,15,20110317,100000,17.51,17.6,17.51,17.5999
US1.NVDA,15,20110317,101500,17.5999,17.71,17.59,17.66
US1.NVDA,15,20110317,104500,17.64,17.65,17.5605,17.5701
US1.NVDA,15,20110317,110000,17.57,17.5999,17.55,17.5999
US1.NVDA,15,20110317,111500,17.67,17.69,17.67,17.6825
US1.NVDA,15,20110317,113000,17.67,17.8095,17.65,17.8
US1.NVDA,15,20110317,114500,17.81,17.81,17.81,17.81
US1.NVDA,15,20110317,120000,17.8,17.82,17.73,17.74
US1.NVDA,15,20110317,121500,17.73,17.81,17.73,17.78
US1.NVDA,15,20110317,130000,17.71,17.78,17.68,17.74
US1.NVDA,15,20110317,131500,17.74,17.79,17.71,17.74
US1.NVDA,15,20110317,140000,17.8,17.85,17.75,17.83
US1.NVDA,15,20110317,141500,17.82,17.84,17.79,17.83
US1.NVDA,15,20110317,150000,17.86,17.87,17.84,17.85
US1.NVDA,15,20110317,151500,17.86,17.86,17.86,17.86
US1.NVDA,15,20110318,84500,18.1401,18.18,18.13,18.1401
US1.NVDA,15,20110318,93000,17.768,17.77,17.75,17.76
US1.NVDA,15,20110318,94500,17.7605,17.78,17.76,17.77
US1.NVDA,15,20110318,100000,17.94,17.9475,17.87,17.9
US1.NVDA,15,20110318,101500,17.9,17.94,17.9,17.91
US1.NVDA,15,20110318,103000,17.91,17.91,17.78,17.79
US1.NVDA,15,20110324,84500,18.19,18.54,18.15,18.375
US1.NVDA,15,20110324,90000,18.373,18.46,18.24,18.45
US1.NVDA,15,20110324,91500,18.46,18.67,18.42,18.52
US1.NVDA,15,20110324,111500,19.29,19.3,19.27,19.28
US1.NVDA,15,20110324,113000,19.275,19.32,19.15,19.18
US1.NVDA,15,20110324,114500,19.18,19.26,19.1,19.16
US1.NVDA,15,20110324,120000,19.17,19.23,19.11,19.1699
US1.NVDA,15,20110324,121500,19.17,19.24,19.1,19.2
US1.NVDA,15,20110324,123000,19.2,19.3,19.19,19.27
US1.NVDA,15,20110324,124500,19.28,19.33,19.26,19.28
US1.NVDA,15,20110324,130000,19.2816,19.3025,19.22,19.29
US1.NVDA,15,20110324,131500,19.2809,19.3,19.26,19.2705
US1.NVDA,15,20110324,133000,19.27,19.35,19.27,19.345
US1.NVDA,15,20110324,134500,19.34,19.43,19.3,19.35
US1.NVDA,15,20110324,140000,19.3505,19.39,19.32,19.38
US1.NVDA,15,20110324,141500,19.38,19.44,19.32,19.33
US1.NVDA,15,20110324,143000,19.33,19.41,19.32,19.41
US1.NVDA,15,20110324,144500,19.405,19.41,19.26,19.31
US1.NVDA,15,20110324,150000,19.3,19.33,19.2,19.23
US1.NVDA,15,20110324,151500,19.24,19.24,19.2,19.23
US1.NVDA,15,20110325,84500,19.4,19.44,18.91,19.03
US1.NVDA,15,20110325,90000,19.03,19.13,18.91,19.0099
US1.NVDA,15,20110325,91500,19,19.02,19,19.02
US1.NVDA,15,20110325,100000,19.38,19.39,19.37,19.39
US1.NVDA,15,20110325,101500,19.39,19.42,19.375,19.38
US1.NVDA,15,20110325,151500,18.63,18.63,18.63,18.63
US1.NVDA,15,20110328,84500,19.07,19.24,18.9,18.91
US1.NVDA,15,20110328,90000,18.91,19.19,18.91,19.19
US1.NVDA,15,20110328,91500,19.1,19.22,19.05,19.19
US1.NVDA,15,20110328,93000,19.1995,19.36,19.18,19.3089
US1.NVDA,15,20110328,94500,19.31,19.43,19.31,19.42
US1.NVDA,15,20110328,100000,19.43,19.4691,19.34,19.34
US1.NVDA,15,20110328,104500,19.405,19.43,19.39,19.42
US1.NVDA,15,20110328,110000,19.415,19.5,19.36,19.48
US1.NVDA,15,20110328,111500,19.475,19.48,19.42,19.47
US1.NVDA,15,20110328,113000,19.47,19.48,19.42,19.46
US1.NVDA,15,20110328,114500,19.45,19.5,19.43,19.5
US1.NVDA,15,20110328,120000,19.5,19.53,19.43,19.48
US1.NVDA,15,20110328,121500,19.47,19.62,19.47,19.588
US1.NVDA,15,20110328,123000,19.58,19.64,19.57,19.5999
US1.NVDA,15,20110328,124500,19.59,19.59,19.49,19.57
US1.NVDA,15,20110328,130000,19.5671,19.57,19.47,19.503
US1.NVDA,15,20110328,131500,19.51,19.51,19.43,19.45
US1.NVDA,15,20110328,133000,19.45,19.49,19.44,19.4505
US1.NVDA,15,20110328,134500,19.46,19.59,19.45,19.57
US1.NVDA,15,20110328,140000,19.57,19.5787,19.35,19.37
US1.NVDA,15,20110328,141500,19.3765,19.415,19.35,19.37
US1.NVDA,15,20110328,143000,19.37,19.4,19.31,19.365
US1.NVDA,15,20110328,144500,19.365,19.42,19.3,19.34
US1.NVDA,15,20110328,150000,19.345,19.345,19.28,19.33
US1.NVDA,15,20110329,151500,19.17,19.17,19.17,19.17
US1.NVDA,15,20110330,84500,19.32,19.4,18.97,18.9999
US1.NVDA,15,20110330,90000,19,19,18.69,18.77
US1.NVDA,15,20110330,91500,18.77,19.92,18.32,18.43
