<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.NFLX,15,20111111,84500,85.9,85.91,83.9,84.78
US1.NFLX,15,20111111,90000,84.8465,85.13,84.4,84.5
US1.NFLX,15,20111111,91500,84.5,85.38,83.7,85.15
US1.NFLX,15,20111111,93000,85.1506,86,84.8405,85.84
US1.NFLX,15,20111111,94500,85.84,86.39,85.7,86.3
US1.NFLX,15,20111111,100000,86.348,86.37,85.47,85.48
US1.NFLX,15,20111111,101500,85.44,85.77,85.06,85.18
US1.NFLX,15,20111111,103000,85.2,85.41,85,85.11
US1.NFLX,15,20111111,104500,85.17,85.66,85.07,85.63
US1.NFLX,15,20111111,110000,85.63,85.86,85.27,85.32
US1.NFLX,15,20111111,111500,85.35,85.68,85.271,85.6
US1.NFLX,15,20111111,113000,85.62,85.85,85.38,85.77
US1.NFLX,15,20111111,114500,85.77,86.33,85.6,86.33
US1.NFLX,15,20111111,120000,86.29,86.85,86.25,86.72
US1.NFLX,15,20111111,121500,86.74,87.2,86.59,87.11
US1.NFLX,15,20111111,123000,87.11,87.4,86.62,86.89
US1.NFLX,15,20111111,124500,86.89,87.17,86.86,87.1
US1.NFLX,15,20111111,130000,87.1001,87.5,87.1,87.4
US1.NFLX,15,20111111,131500,87.3601,87.95,87.3601,87.74
US1.NFLX,15,20111111,133000,87.7472,87.85,87.3,87.76
US1.NFLX,15,20111111,134500,87.77,87.83,87.55,87.57
US1.NFLX,15,20111111,140000,87.64,87.67,87.37,87.55
US1.NFLX,15,20111111,141500,87.52,87.52,87.2699,87.33
US1.NFLX,15,20111111,143000,87.33,87.64,87.3176,87.6
US1.NFLX,15,20111111,144500,87.63,87.7352,87.54,87.66
US1.NFLX,15,20111111,150000,87.63,87.8,87.47,87.74
US1.NFLX,15,20111111,151500,87.75,87.75,87.75,87.75
US1.NFLX,15,20111114,84500,88,88.1,86.37,87.3952
US1.NFLX,15,20111114,90000,87.36,87.4,86.5,87.12
US1.NFLX,15,20111114,91500,87.15,87.5836,87.02,87.31
US1.NFLX,15,20111114,93000,87.34,87.34,86.21,86.35
US1.NFLX,15,20111114,94500,86.4,86.49,86,86.351
US1.NFLX,15,20111114,100000,86.36,86.6,86.15,86.458
US1.NFLX,15,20111114,101500,86.41,86.584,86.22,86.27
US1.NFLX,15,20111114,103000,86.29,86.41,86.03,86.0364
US1.NFLX,15,20111114,104500,86.08,86.35,85.79,85.7972
US1.NFLX,15,20111114,110000,85.81,86.07,85.65,85.95
US1.NFLX,15,20111114,111500,85.89,86.22,85.73,86.15
US1.NFLX,15,20111114,113000,86.11,86.11,85.606,85.84
US1.NFLX,15,20111114,114500,85.8,85.97,85.61,85.8118
US1.NFLX,15,20111114,120000,85.85,86.14,85.7,86.08
US1.NFLX,15,20111114,121500,86.03,86.04,85.7518,85.94
US1.NFLX,15,20111114,123000,85.91,86.0795,85.78,86.07
US1.NFLX,15,20111114,124500,86.09,86.09,85.9,85.95
US1.NFLX,15,20111114,130000,85.95,86.1,85.9,86.0418
US1.NFLX,15,20111114,131500,86.09,86.23,85.93,86.21
US1.NFLX,15,20111114,133000,86.08,86.14,85.8,85.82
US1.NFLX,15,20111114,134500,85.84,85.85,85.45,85.52
US1.NFLX,15,20111114,140000,85.58,85.72,85.51,85.535
US1.NFLX,15,20111114,141500,85.55,86.0075,85.55,85.95
US1.NFLX,15,20111114,143000,85.95,85.98,85.64,85.72
US1.NFLX,15,20111114,144500,85.73,86.09,85.68,86.0388
US1.NFLX,15,20111114,150000,86.0399,86.11,85.63,85.67
US1.NFLX,15,20111115,84500,85.23,85.74,84.5,84.7509
US1.NFLX,15,20111115,90000,84.7716,86.11,84.75,85.71
US1.NFLX,15,20111115,91500,85.66,86.26,85.34,85.91
US1.NFLX,15,20111115,93000,85.94,86.1,85.59,86.0772
US1.NFLX,15,20111115,94500,86.14,86.42,85.9,85.99
US1.NFLX,15,20111115,100000,86.0268,86.14,85.65,85.68
US1.NFLX,15,20111115,101500,85.71,86.09,85.69,86.04
US1.NFLX,15,20111115,103000,86.05,86.19,85.69,86.04
US1.NFLX,15,20111115,104500,86.028,86.06,85.52,85.84
US1.NFLX,15,20111115,110000,85.85,85.92,85.54,85.84
US1.NFLX,15,20111115,111500,85.85,86.13,85.68,86.13
US1.NFLX,15,20111115,113000,86.11,86.5,86.01,86.49
US1.NFLX,15,20111115,114500,86.4998,86.75,86.4,86.5325
US1.NFLX,15,20111115,120000,86.59,87,86.26,86.985
US1.NFLX,15,20111115,121500,87,87.0001,86.56,86.6
US1.NFLX,15,20111115,123000,86.6,86.72,86.42,86.6
US1.NFLX,15,20111115,124500,86.63,86.91,86.5756,86.8025
US1.NFLX,15,20111115,130000,86.84,86.87,86.62,86.67
US1.NFLX,15,20111115,131500,86.67,86.875,86.59,86.8
US1.NFLX,15,20111115,133000,86.79,86.84,86.53,86.71
US1.NFLX,15,20111115,134500,86.73,86.91,86.65,86.78
US1.NFLX,15,20111115,140000,86.75,86.83,86.75,86.78
US1.NFLX,15,20111116,84500,86.386,86.45,84.7623,85.499
US1.NFLX,15,20111116,90000,85.482,85.86,85.25,85.47
US1.NFLX,15,20111116,91500,85.45,85.6,85,85.13
US1.NFLX,15,20111116,93000,85.13,85.32,84.75,84.77
US1.NFLX,15,20111116,94500,84.77,85.16,84.75,84.91
US1.NFLX,15,20111116,100000,84.91,85.13,84.75,84.85
US1.NFLX,15,20111116,101500,84.92,85.04,84.5,84.74
US1.NFLX,15,20111116,103000,84.73,84.743,84.5,84.58
US1.NFLX,15,20111116,104500,84.59,84.65,84.2,84.21
US1.NFLX,15,20111116,110000,84.24,84.36,83.9,83.93
US1.NFLX,15,20111116,111500,83.9245,84.0575,83.7,83.795
US1.NFLX,15,20111116,113000,83.82,83.9599,83.11,83.13
US1.NFLX,15,20111116,114500,83.14,83.35,82.84,83.0099
US1.NFLX,15,20111116,120000,83.05,83.23,82.7,82.8828
US1.NFLX,15,20111116,121500,82.89,83.18,82.81,83.142
US1.NFLX,15,20111116,123000,83.09,83.3,82.985,83.22
US1.NFLX,15,20111116,124500,83.24,83.25,82.95,83.08
US1.NFLX,15,20111116,130000,83.08,83.15,82.51,82.55
US1.NFLX,15,20111116,131500,82.54,82.74,82.16,82.186
US1.NFLX,15,20111116,133000,82.18,82.419,82.07,82.125
US1.NFLX,15,20111116,134500,82.16,82.27,81.91,82.11
US1.NFLX,15,20111116,140000,82.11,82.13,81.63,81.9
US1.NFLX,15,20111116,141500,81.92,82.28,81.66,81.95
US1.NFLX,15,20111116,143000,81.974,81.974,81.37,81.39
US1.NFLX,15,20111116,144500,81.4028,81.44,80.89,81.22
US1.NFLX,15,20111116,150000,81.19,81.57,81,81.01
US1.NFLX,15,20111116,151500,81.18,81.18,81.18,81.18
US1.NFLX,15,20111117,84500,81,81,79.065,79.77
US1.NFLX,15,20111117,90000,79.77,80.06,79.3,79.63
US1.NFLX,15,20111117,91500,79.694,80.1,78.39,79.08
US1.NFLX,15,20111117,93000,79.2,79.48,78.86,79.24
US1.NFLX,15,20111117,94500,79.246,79.68,79.1,79.23
US1.NFLX,15,20111117,100000,79.24,79.42,78.91,79
US1.NFLX,15,20111117,101500,78.99,79.44,78.85,79.34
US1.NFLX,15,20111117,103000,79.33,79.75,79.1,79.39
US1.NFLX,15,20111117,104500,79.38,79.79,79,79.08
US1.NFLX,15,20111117,110000,79.07,79.2,78.5201,79
US1.NFLX,15,20111117,111500,78.91,79.25,78.4,78.46
US1.NFLX,15,20111117,113000,78.4639,79.02,78.4225,78.62
US1.NFLX,15,20111117,114500,78.56,78.611,77.51,77.73
US1.NFLX,15,20111117,120000,77.6502,78.1775,77.61,78.0145
US1.NFLX,15,20111117,121500,78.01,78.01,77.52,77.71
US1.NFLX,15,20111117,123000,77.71,78.29,77.51,77.748
US1.NFLX,15,20111117,124500,77.72,78.08,77.65,78.065
US1.NFLX,15,20111117,130000,78.06,78.23,77.62,77.98
US1.NFLX,15,20111117,131500,78,78,77.32,77.32
US1.NFLX,15,20111117,133000,77.31,77.42,76.92,77.3575
US1.NFLX,15,20111117,134500,77.303,77.5,77.12,77.43
US1.NFLX,15,20111117,140000,77.43,77.67,77.27,77.27
US1.NFLX,15,20111117,141500,77.27,77.5,76.68,76.7325
US1.NFLX,15,20111117,143000,76.75,76.78,76.3345,76.37
US1.NFLX,15,20111117,144500,76.35,76.43,75.81,75.84
US1.NFLX,15,20111117,150000,75.85,76.46,75.79,76.44
US1.NFLX,15,20111117,151500,76.437,76.46,76.437,76.46
US1.NFLX,15,20111118,84500,76.77,78.03,76.04,78.03
US1.NFLX,15,20111118,90000,78.021,78.5,77.6,77.92
US1.NFLX,15,20111118,91500,77.891,78.08,77.32,77.35
US1.NFLX,15,20111118,93000,77.385,77.81,77,77.8
US1.NFLX,15,20111118,94500,77.78,78.3,77.74,78
US1.NFLX,15,20111118,100000,78.01,78.75,77.98,78.5408
US1.NFLX,15,20111118,101500,78.53,78.63,78.23,78.55
US1.NFLX,15,20111118,103000,78.6,79,78.44,78.92
US1.NFLX,15,20111118,104500,78.86,78.97,78.25,78.536
US1.NFLX,15,20111118,110000,78.51,78.7675,78.37,78.43
US1.NFLX,15,20111118,111500,78.43,78.43,77.63,77.64
US1.NFLX,15,20111118,113000,77.6598,77.85,76.88,77.29
US1.NFLX,15,20111118,114500,77.2893,77.52,77.11,77.43
US1.NFLX,15,20111118,120000,77.44,77.71,77.17,77.2
US1.NFLX,15,20111118,121500,77.2,77.53,77.16,77.453
US1.NFLX,15,20111118,123000,77.48,77.81,77.46,77.73
US1.NFLX,15,20111118,124500,77.701,78.04,77.66,77.8228
US1.NFLX,15,20111118,130000,77.83,77.83,77.58,77.705
US1.NFLX,15,20111118,131500,77.7075,78.07,77.69,78.07
US1.NFLX,15,20111118,133000,78.05,78.08,77.79,77.8916
US1.NFLX,15,20111118,134500,77.9475,78,77.71,77.97
US1.NFLX,15,20111118,140000,78,78.02,77.6,77.73
US1.NFLX,15,20111118,141500,77.72,77.92,77.61,77.72
US1.NFLX,15,20111118,143000,77.74,77.75,77.5,77.715
US1.NFLX,15,20111118,144500,77.7,78.03,77.69,77.87
US1.NFLX,15,20111118,150000,77.86,78.04,77.78,78.0301
US1.NFLX,15,20111118,151500,78.06,78.06,78.06,78.06
US1.NFLX,15,20111121,84500,76.96,79.98,76.66,78.4965
US1.NFLX,15,20111121,90000,78.56,78.98,77.3,77.4864
US1.NFLX,15,20111121,91500,77.5,77.5,76.63,77.01
US1.NFLX,15,20111121,93000,77.01,77.01,76.08,76.31
US1.NFLX,15,20111121,94500,76.34,76.34,75.3,75.31
US1.NFLX,15,20111121,100000,75.3,75.59,75.01,75.21
US1.NFLX,15,20111121,101500,75.19,75.53,75.06,75.41
US1.NFLX,15,20111121,103000,75.43,75.719,75.0801,75.27
US1.NFLX,15,20111121,104500,75.29,75.33,74.2625,74.33
US1.NFLX,15,20111121,110000,74.26,74.7796,74.14,74.5374
US1.NFLX,15,20111121,111500,74.55,74.58,73.57,73.79
US1.NFLX,15,20111121,113000,73.78,74.08,73.33,73.39
US1.NFLX,15,20111121,114500,73.3775,73.8,73.305,73.57
US1.NFLX,15,20111121,120000,73.51,74.23,73.471,73.73
US1.NFLX,15,20111121,121500,73.705,74.22,73.7,73.8
US1.NFLX,15,20111121,123000,73.79,74.11,73.72,73.74
US1.NFLX,15,20111121,124500,73.71,73.73,73.26,73.42
US1.NFLX,15,20111121,130000,73.46,73.82,73.3,73.31
US1.NFLX,15,20111121,131500,73.32,73.94,73.316,73.94
US1.NFLX,15,20111121,133000,73.946,74.2699,73.92,74.13
US1.NFLX,15,20111121,134500,74.13,74.35,73.64,73.97
US1.NFLX,15,20111121,140000,74,74.23,73.84,73.84
US1.NFLX,15,20111121,141500,73.85,74.03,73.6,73.81
US1.NFLX,15,20111121,143000,73.85,74.49,73.5525,74.42
US1.NFLX,15,20111121,144500,74.42,74.82,74.34,74.464
US1.NFLX,15,20111121,150000,74.48,74.72,74.1725,74.66
US1.NFLX,15,20111122,84500,69.22,72.49,69,72.15
