<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.PM,15,20111125,100000,72.16,72.16,72.16,72.16
US1.PM,15,20111125,110000,71.745,71.745,71.745,71.745
US1.PM,15,20111125,121500,71.31,71.31,71.31,71.31
US1.PM,15,20111128,114500,72.56,72.56,72.56,72.56
US1.PM,15,20111128,143000,72.74,72.9,72.74,72.9
US1.PM,15,20111128,144500,72.89,72.89,72.87,72.87
US1.PM,15,20111128,150000,72.86,73.05,72.86,73.05
US1.PM,15,20111129,91500,74.35,74.35,74.19,74.19
US1.PM,15,20111129,124500,74.81,74.81,74.81,74.81
US1.PM,15,20111129,143000,74.85,74.85,74.85,74.85
US1.PM,15,20111129,150000,74.71,74.71,74.52,74.52
US1.PM,15,20111130,84500,76.115,76.115,76.11,76.11
US1.PM,15,20111130,113000,75.42,75.42,75.42,75.42
US1.PM,15,20111130,140000,75.76,75.76,75.76,75.76
US1.PM,15,20111130,143000,75.87,75.87,75.87,75.87
US1.PM,15,20111130,150000,75.995,76.18,75.99,76.1401
US1.PM,15,20111201,91500,76.77,76.94,76.77,76.88
US1.PM,15,20111201,104500,76.186,76.186,76.186,76.186
US1.PM,15,20111201,113000,76.0825,76.0825,76.0825,76.0825
US1.PM,15,20111201,120000,75.93,75.93,75.93,75.93
US1.PM,15,20111201,121500,76.0101,76.049,76.0101,76.049
US1.PM,15,20111201,123000,76.02,76.02,76.02,76.02
US1.PM,15,20111201,124500,76.28,76.28,76.28,76.28
US1.PM,15,20111201,131500,76.31,76.31,76.2182,76.264
US1.PM,15,20111201,133000,76.28,76.28,76.26,76.27
US1.PM,15,20111201,134500,76.25,76.25,76.25,76.25
US1.PM,15,20111201,140000,76.19,76.19,75.99,76
US1.PM,15,20111201,141500,75.95,75.95,75.8201,75.8201
US1.PM,15,20111201,143000,75.79,75.93,75.79,75.91
US1.PM,15,20111201,144500,75.91,75.91,75.77,75.77
US1.PM,15,20111201,150000,75.66,75.71,75.595,75.65
US1.PM,15,20111202,91500,76.19,76.31,76.19,76.31
US1.PM,15,20111202,101500,76.15,76.15,75.98,75.98
US1.PM,15,20111202,103000,76.01,76.01,76.01,76.01
US1.PM,15,20111202,104500,75.86,75.89,75.71,75.73
US1.PM,15,20111202,110000,75.67,75.67,75.65,75.66
US1.PM,15,20111202,111500,75.67,75.67,75.635,75.635
US1.PM,15,20111202,114500,75.54,75.54,75.47,75.51
US1.PM,15,20111202,121500,75.62,75.62,75.62,75.62
US1.PM,15,20111202,123000,75.54,75.54,75.51,75.51
US1.PM,15,20111202,124500,75.47,75.47,75.47,75.47
US1.PM,15,20111202,130000,75.5,75.545,75.5,75.545
US1.PM,15,20111202,131500,75.49,75.49,75.435,75.4871
US1.PM,15,20111202,134500,75.51,75.5375,75.46,75.5375
US1.PM,15,20111202,140000,75.63,75.63,75.63,75.63
US1.PM,15,20111202,141500,75.54,75.54,75.54,75.54
US1.PM,15,20111202,143000,75.418,75.418,75.418,75.418
US1.PM,15,20111202,144500,75.47,75.715,75.47,75.7
US1.PM,15,20111202,150000,75.71,75.71,75.37,75.47
US1.PM,15,20111202,151500,75.47,75.47,75.47,75.47
US1.PM,15,20111205,91500,75.8,75.89,75.8,75.89
US1.PM,15,20111205,93000,75.77,75.95,75.77,75.95
US1.PM,15,20111205,111500,75.79,75.8,75.79,75.8
US1.PM,15,20111205,120000,75.76,75.76,75.76,75.76
US1.PM,15,20111205,124500,75.9099,75.9099,75.745,75.745
US1.PM,15,20111205,130000,75.65,75.68,75.5,75.5
US1.PM,15,20111205,131500,75.4,75.4,75.4,75.4
US1.PM,15,20111205,133000,75.475,75.58,75.475,75.58
US1.PM,15,20111205,141500,75.78,75.83,75.592,75.6
US1.PM,15,20111205,143000,75.5,75.6,75.5,75.555
US1.PM,15,20111205,144500,75.6,75.71,75.59,75.6168
US1.PM,15,20111205,150000,75.595,75.82,75.595,75.77
US1.PM,15,20111206,91500,75.34,75.34,75.34,75.34
US1.PM,15,20111206,93000,75.5,75.535,75.5,75.535
US1.PM,15,20111206,94500,75.62,75.67,75.62,75.67
US1.PM,15,20111206,103000,75.48,75.48,75.48,75.48
US1.PM,15,20111206,110000,75.43,75.43,75.43,75.43
US1.PM,15,20111206,111500,75.5,75.5,75.5,75.5
