<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.RL,15,20110222,71500,126,126,126,126
US1.RL,15,20110222,73000,126,126,126,126
US1.RL,15,20110222,83000,126.5,126.5,126.5,126.5
US1.RL,15,20110222,84500,126.4,127.83,125.97,127.28
US1.RL,15,20110222,90000,127.26,127.34,126.8,126.87
US1.RL,15,20110222,91500,126.89,126.95,126.63,126.85
US1.RL,15,20110222,93000,126.97,127.17,126.62,126.83
US1.RL,15,20110222,94500,126.76,127.16,126.45,127.16
US1.RL,15,20110222,100000,127.16,127.29,126.83,126.9
US1.RL,15,20110222,101500,126.84,126.93,125.65,125.71
US1.RL,15,20110222,103000,125.77,125.8,124.9,125.185
US1.RL,15,20110222,104500,125.22,125.71,124.97,125.39
US1.RL,15,20110222,110000,125.44,125.61,125.21,125.57
US1.RL,15,20110222,111500,125.55,125.87,125.49,125.69
US1.RL,15,20110222,113000,125.73,126.14,125.65,125.99
US1.RL,15,20110222,114500,125.91,125.94,125.37,125.42
US1.RL,15,20110222,120000,125.43,125.68,125.205,125.265
US1.RL,15,20110222,121500,125.29,125.41,125.04,125.2
US1.RL,15,20110222,123000,125.2,125.26,124.76,125.07
US1.RL,15,20110222,124500,125.03,125.47,124.95,125.41
US1.RL,15,20110222,130000,125.4,125.4,124.975,125
US1.RL,15,20110222,131500,125,125.09,124.55,124.631
US1.RL,15,20110222,133000,124.59,125.007,124.55,125.007
US1.RL,15,20110222,134500,124.98,125.1,124.91,124.99
US1.RL,15,20110222,140000,125,125.34,124.97,124.97
US1.RL,15,20110222,141500,124.96,124.98,124.39,124.55
US1.RL,15,20110222,143000,124.46,124.5,124.13,124.21
US1.RL,15,20110222,144500,124.15,124.2,123.68,123.805
US1.RL,15,20110222,150000,123.805,123.845,123.63,123.78
US1.RL,15,20110222,151500,123.75,126.78,123.74,123.78
US1.RL,15,20110222,153000,123.78,123.78,123.78,123.78
US1.RL,15,20110223,71500,123.3,123.3,123.3,123.3
US1.RL,15,20110223,84500,123.7,123.97,122.45,123.82
US1.RL,15,20110223,90000,123.88,123.96,122.96,123.08
US1.RL,15,20110223,91500,122.98,123.25,122.75,123.1
US1.RL,15,20110223,93000,123.05,123.64,122.95,123.22
US1.RL,15,20110223,94500,123.19,123.46,122.77,122.77
US1.RL,15,20110223,100000,122.8,123.52,122.725,123.31
US1.RL,15,20110223,101500,123.3,123.4,122.8,122.87
US1.RL,15,20110223,103000,122.815,122.89,122.73,122.8
US1.RL,15,20110223,104500,122.87,122.87,121.93,121.93
US1.RL,15,20110223,110000,121.9,122.31,121.73,122.21
US1.RL,15,20110223,111500,122.215,122.27,120.92,121.22
