<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
US1.BAC,15,20090102,094500,13.9600000,14.1800000,13.9200000,13.9800000
US1.BAC,15,20090102,100000,13.9800000,14.0000000,13.7500000,13.7800000
US1.BAC,15,20090102,101500,13.7700000,13.9000000,13.7100000,13.8400000
US1.BAC,15,20090102,103000,13.8500000,13.8500000,13.7600000,13.8200000
US1.BAC,15,20090102,104500,13.8300000,13.9600000,13.7700000,13.9500000
US1.BAC,15,20090102,110000,13.9600000,14.1500000,13.9500000,14.1300000
US1.BAC,15,20090102,111500,14.1400000,14.1400000,13.9600000,14.0000000
US1.BAC,15,20090102,113000,14.0000000,14.0500000,13.9100000,14.0400000
US1.BAC,15,20090102,114500,14.0478000,14.0700000,13.9800000,14.0000000
US1.BAC,15,20090102,120000,14.0000000,14.0100000,13.9400000,13.9500000
US1.BAC,15,20090102,121500,13.9500000,14.0200000,13.9500000,13.9801000
US1.BAC,15,20090102,123000,13.9898000,14.0000000,13.9700000,13.9875000
US1.BAC,15,20090102,124500,13.9900000,14.0800000,13.9800000,14.0700000
US1.BAC,15,20090102,130000,14.0680000,14.0750000,14.0200000,14.0300000
US1.BAC,15,20090102,131500,14.0300000,14.1200000,14.0100000,14.1200000
US1.BAC,15,20090102,133000,14.1200000,14.1800000,14.0900000,14.1700000
US1.BAC,15,20090102,134500,14.1700000,14.1900000,14.1200000,14.1799000
US1.BAC,15,20090102,140000,14.1700000,14.2500000,14.1200000,14.1500000
US1.BAC,15,20090102,141500,14.1500000,14.1600000,14.0600000,14.1400000
US1.BAC,15,20090102,143000,14.1500000,14.2000000,14.1100000,14.1900000
US1.BAC,15,20090102,144500,14.1900000,14.3400000,14.1900000,14.3100000
US1.BAC,15,20090102,150000,14.3180000,14.4100000,14.2800000,14.3700000
US1.BAC,15,20090102,151500,14.3700000,14.4800000,14.3600000,14.4000000
US1.BAC,15,20090102,153000,14.3900000,14.4600000,14.3500000,14.4400000
US1.BAC,15,20090102,154500,14.4400000,14.5700000,14.3800000,14.4801000
US1.BAC,15,20090102,160000,14.4800000,14.5400000,14.3300000,14.3900000
US1.BAC,15,20090105,094500,14.3700000,14.5100000,14.0300000,14.1000000
US1.BAC,15,20090105,100000,14.1000000,14.1700000,13.9800000,14.0000000
US1.BAC,15,20090105,101500,14.0000000,14.0500000,13.9100000,14.0100000
US1.BAC,15,20090105,103000,14.0100000,14.0200000,13.9400000,14.0100000
US1.BAC,15,20090105,104500,14.0100000,14.2300000,13.9800000,14.1900000
US1.BAC,15,20090105,110000,14.1900000,14.3100000,14.1800000,14.1900000
US1.BAC,15,20090105,111500,14.1800000,14.2700000,14.1100000,14.2300000
US1.BAC,15,20090105,113000,14.2300000,14.2600000,14.1100000,14.1301000
US1.BAC,15,20090105,114500,14.1300000,14.2500000,14.1000000,14.1900000
US1.BAC,15,20090105,120000,14.2000000,14.2700000,14.1400000,14.1500000
US1.BAC,15,20090105,121500,14.1500000,14.3000000,14.1500000,14.2500000
US1.BAC,15,20090105,123000,14.2400000,14.4100000,14.2400000,14.4000000
US1.BAC,15,20090105,124500,14.3900000,14.4400000,14.3200000,14.3300000
US1.BAC,15,20090105,130000,14.3399000,14.4400000,14.3100000,14.3600000
US1.BAC,15,20090105,131500,14.3624000,14.4500000,14.3520000,14.4300000
US1.BAC,15,20090105,133000,14.4300000,14.4500000,14.3800000,14.4082000
US1.BAC,15,20090105,134500,14.4100000,14.4500000,14.3600000,14.4400000
US1.BAC,15,20090105,140000,14.4300000,14.5400000,14.4300000,14.4900000
US1.BAC,15,20090105,141500,14.5000000,14.5500000,14.3177000,14.3300000
US1.BAC,15,20090105,143000,14.3307000,14.3900000,14.2400000,14.2900000
US1.BAC,15,20090105,144500,14.2900000,14.4200000,14.2400000,14.3582000
US1.BAC,15,20090105,150000,14.3500000,14.4100000,14.2000000,14.2600000
US1.BAC,15,20090105,151500,14.2600000,14.3700000,14.2450000,14.3000000
US1.BAC,15,20090105,153000,14.3022000,14.3100000,14.1700000,14.1800000
US1.BAC,15,20090105,154500,14.1774000,14.2200000,14.0500000,14.0680000
US1.BAC,15,20090105,160000,14.0700000,14.2000000,13.8900000,13.9800000
US1.BAC,15,20090106,094500,14.2700000,14.5300000,14.2000000,14.5001000
US1.BAC,15,20090106,100000,14.5000000,14.6300000,14.4300000,14.5320000
US1.BAC,15,20090106,101500,14.5376000,14.5800000,14.3400000,14.3400000
US1.BAC,15,20090106,103000,14.3500000,14.4500000,14.3000000,14.3300000
US1.BAC,15,20090106,104500,14.3300000,14.4900000,14.3100000,14.4500000
US1.BAC,15,20090106,110000,14.4500000,14.4800000,14.4000000,14.4300000
US1.BAC,15,20090106,111500,14.4380000,14.4400000,14.3400000,14.3800000
US1.BAC,15,20090106,113000,14.3800000,14.4600000,14.3800000,14.4000000
US1.BAC,15,20090106,114500,14.3900000,14.4800000,14.3700000,14.4700000
US1.BAC,15,20090106,120000,14.4650000,14.4700000,14.4100000,14.4400000
US1.BAC,15,20090106,121500,14.4400000,14.5400000,14.4200000,14.5124000
US1.BAC,15,20090106,123000,14.5200000,14.5400000,14.4500000,14.4575000
US1.BAC,15,20090106,124500,14.4578000,14.4700000,14.3700000,14.3799000
US1.BAC,15,20090106,130000,14.3700000,14.4500000,14.3700000,14.4250000
US1.BAC,15,20090106,131500,14.4275000,14.4400000,14.3900000,14.4050000
US1.BAC,15,20090106,133000,14.4000000,14.4100000,14.3200000,14.3700000
US1.BAC,15,20090106,134500,14.3710000,14.4200000,14.3100000,14.4000000
US1.BAC,15,20090106,140000,14.4100000,14.4800000,14.3900000,14.4000000
US1.BAC,15,20090106,141500,14.4000000,14.4800000,14.3100000,14.4480000
US1.BAC,15,20090106,143000,14.4450000,14.4900000,14.4000000,14.4900000
US1.BAC,15,20090106,144500,14.4900000,14.5800000,14.4700000,14.5800000
US1.BAC,15,20090106,150000,14.5701000,14.8000000,14.4500000,14.8000000
US1.BAC,15,20090106,151500,14.8000000,14.8100000,14.5400000,14.5400000
US1.BAC,15,20090106,153000,14.5400000,14.5900000,14.0700000,14.0800000
US1.BAC,15,20090106,154500,14.0800000,14.3400000,14.0700000,14.3100000
US1.BAC,15,20090106,160000,14.3100000,14.3300000,14.1600000,14.2600000
US1.BAC,15,20090107,094500,14.1100000,14.1300000,13.9600000,13.9900000
US1.BAC,15,20090107,100000,13.9900000,14.0200000,13.9700000,14.0100000
US1.BAC,15,20090107,101500,14.0100000,14.1100000,13.9100000,13.9500000
US1.BAC,15,20090107,103000,13.9600000,14.0400000,13.8800000,14.0000000
US1.BAC,15,20090107,104500,14.0000000,14.0200000,13.9500000,14.0000000
US1.BAC,15,20090107,110000,14.0000000,14.0250000,13.9600000,14.0190000
US1.BAC,15,20090107,111500,14.0190000,14.0900000,13.9900000,13.9989000
US1.BAC,15,20090107,113000,13.9900000,14.0500000,13.9800000,14.0500000
US1.BAC,15,20090107,114500,14.0500000,14.0700000,14.0200000,14.0500000
US1.BAC,15,20090107,120000,14.0482000,14.0500000,14.0174000,14.0300000
US1.BAC,15,20090107,121500,14.0200000,14.0500000,14.0000000,14.0200000
US1.BAC,15,20090107,123000,14.0200000,14.0300000,14.0000000,14.0000000
US1.BAC,15,20090107,124500,14.0100000,14.0100000,13.9600000,13.9699000
US1.BAC,15,20090107,130000,13.9600000,13.9800000,13.9000000,13.9300000
US1.BAC,15,20090107,131500,13.9200000,13.9700000,13.9100000,13.9650000
US1.BAC,15,20090107,133000,13.9622000,14.0100000,13.9600000,13.9800000
US1.BAC,15,20090107,134500,13.9700000,14.0000000,13.9600000,13.9700000
US1.BAC,15,20090107,140000,13.9600000,14.0300000,13.9500000,13.9900000
US1.BAC,15,20090107,141500,13.9900000,14.0300000,13.9800000,14.0300000
US1.BAC,15,20090107,143000,14.0200000,14.0400000,14.0000000,14.0000000
US1.BAC,15,20090107,144500,14.0100000,14.0200000,13.9600000,14.0000000
US1.BAC,15,20090107,150000,14.0000000,14.0200000,13.9400000,14.0100000
US1.BAC,15,20090107,151500,14.0000000,14.0378000,13.8000000,13.8100000
US1.BAC,15,20090107,153000,13.8100000,13.9300000,13.7600000,13.9000000
US1.BAC,15,20090107,154500,13.9000000,13.9700000,13.7500000,13.7986000
US1.BAC,15,20090107,160000,13.7978000,13.8000000,13.6100000,13.7400000
US1.BAC,15,20090108,094500,13.8200000,13.9600000,13.6900000,13.8895000
US1.BAC,15,20090108,100000,13.8800000,13.9900000,13.8400000,13.8890000
US1.BAC,15,20090108,101500,13.8880000,13.9000000,13.8400000,13.8800000
US1.BAC,15,20090108,103000,13.8700000,13.8900000,13.7800000,13.8500000
US1.BAC,15,20090108,104500,13.8500000,13.8800000,13.8200000,13.8400000
US1.BAC,15,20090108,110000,13.8400000,13.8600000,13.7900000,13.8500000
US1.BAC,15,20090108,111500,13.8500000,13.9400000,13.7100000,13.7500000
US1.BAC,15,20090108,113000,13.7500000,13.8000000,13.6200000,13.6700000
US1.BAC,15,20090108,114500,13.6720000,13.8500000,13.5300000,13.5900000
US1.BAC,15,20090108,120000,13.5882000,13.8500000,13.4100000,13.4200000
US1.BAC,15,20090108,121500,13.4200000,13.5100000,13.3482000,13.4800000
US1.BAC,15,20090108,123000,13.4800000,13.5300000,13.4200000,13.5080000
US1.BAC,15,20090108,124500,13.5100000,13.5400000,13.4300000,13.5400000
US1.BAC,15,20090108,130000,13.5400000,13.6300000,13.4900000,13.5100000
US1.BAC,15,20090108,131500,13.5100000,13.5200000,13.4100000,13.4600000
US1.BAC,15,20090108,133000,13.4600000,13.5200000,13.3800000,13.4000000
US1.BAC,15,20090108,134500,13.3900000,13.4300000,13.3800000,13.4100000
US1.BAC,15,20090108,140000,13.4100000,13.4700000,13.3600000,13.4500000
US1.BAC,15,20090108,141500,13.4400000,13.5700000,13.4200000,13.5200000
US1.BAC,15,20090108,143000,13.5200000,13.5400000,13.4500000,13.4600000
US1.BAC,15,20090108,144500,13.4600000,13.5400000,13.4300000,13.5400000
US1.BAC,15,20090108,150000,13.5400000,13.7000000,13.4800000,13.5695000
US1.BAC,15,20090108,151500,13.5600000,13.6200000,13.4400000,13.4500000
US1.BAC,15,20090108,153000,13.4500000,13.4700000,13.3700000,13.4192000
US1.BAC,15,20090108,154500,13.4200000,13.5800000,13.4100000,13.5700000
US1.BAC,15,20090108,160000,13.5700000,13.5900000,13.4700000,13.5700000
US1.BAC,15,20090109,094500,13.6800000,13.7800000,13.2600000,13.3900000
US1.BAC,15,20090109,100000,13.3900000,13.3900000,13.2000000,13.3200000
US1.BAC,15,20090109,101500,13.3200000,13.3600000,13.1300000,13.2600000
US1.BAC,15,20090109,103000,13.2600000,13.3300000,13.1800000,13.2000000
US1.BAC,15,20090109,104500,13.1900000,13.2000000,13.0400000,13.1125000
US1.BAC,15,20090109,110000,13.1200000,13.1700000,13.0200000,13.0500000
US1.BAC,15,20090109,111500,13.0500000,13.1100000,13.0200000,13.1100000
US1.BAC,15,20090109,113000,13.1100000,13.2900000,13.0800000,13.2400000
US1.BAC,15,20090109,114500,13.2400000,13.2500000,13.1700000,13.1900000
US1.BAC,15,20090109,120000,13.1800000,13.2200000,13.1600000,13.1900000
US1.BAC,15,20090109,121500,13.2000000,13.2300000,13.1500000,13.1800000
US1.BAC,15,20090109,123000,13.1800000,13.2000000,13.1000000,13.1000000
US1.BAC,15,20090109,124500,13.1000000,13.1800000,13.0700000,13.1120000
US1.BAC,15,20090109,130000,13.1200000,13.1600000,13.0800000,13.0900000
US1.BAC,15,20090109,131500,13.0999000,13.1600000,13.0800000,13.0982000
US1.BAC,15,20090109,133000,13.0900000,13.1000000,13.0500000,13.0900000
US1.BAC,15,20090109,134500,13.0900000,13.1599000,13.0700000,13.1300000
US1.BAC,15,20090109,140000,13.1299000,13.1600000,13.1000000,13.1200000
US1.BAC,15,20090109,141500,13.1200000,13.2000000,13.1100000,13.1600000
US1.BAC,15,20090109,143000,13.1699000,13.2300000,13.1500000,13.1500000
US1.BAC,15,20090109,144500,13.1500000,13.2100000,13.1300000,13.1622000
US1.BAC,15,20090109,150000,13.1700000,13.2000000,13.1300000,13.1600000
US1.BAC,15,20090109,151500,13.1722000,13.2000000,13.0500000,13.0600000
US1.BAC,15,20090109,153000,13.0600000,13.0900000,12.9900000,13.0700000
US1.BAC,15,20090109,154500,13.0700000,13.1300000,13.0300000,13.0800000
US1.BAC,15,20090109,160000,13.0800000,13.0900000,12.9500000,12.9700000
US1.BAC,15,20090112,094500,12.8600000,12.9000000,12.4800000,12.5500000
US1.BAC,15,20090112,100000,12.5500000,12.5600000,12.3000000,12.3700000
US1.BAC,15,20090112,101500,12.3700000,12.3799000,12.2300000,12.2600000
US1.BAC,15,20090112,103000,12.2600000,12.3200000,12.2400000,12.3100000
US1.BAC,15,20090112,104500,12.3100000,12.3700000,12.2800000,12.2899000
US1.BAC,15,20090112,110000,12.2900000,12.3500000,12.2000000,12.2185000
US1.BAC,15,20090112,111500,12.2100000,12.2200000,12.1400000,12.1700000
US1.BAC,15,20090112,113000,12.1800000,12.2000000,12.1000000,12.1000000
US1.BAC,15,20090112,114500,12.1099000,12.1400000,12.0200000,12.0200000
US1.BAC,15,20090112,120000,12.0200000,12.0400000,11.9900000,12.0000000
US1.BAC,15,20090112,121500,12.0000000,12.0900000,11.9600000,12.0799000
US1.BAC,15,20090112,123000,12.0800000,12.1200000,12.0500000,12.0500000
US1.BAC,15,20090112,124500,12.0501000,12.0700000,11.9800000,11.9899000
US1.BAC,15,20090112,130000,11.9800000,11.9800000,11.8000000,11.8300000
US1.BAC,15,20090112,131500,11.8300000,12.0000000,11.8200000,11.9999000
US1.BAC,15,20090112,133000,12.0000000,12.0000000,11.9400000,11.9850000
