Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
25/06/2019,1.9089,1.9418,1.8935,1.9234,0.0145,1.9184,2377,2606,,,100
24/06/2019,1.9282,1.9313,1.8893,1.9089,-0.0069,1.9083,2845,2649,,,265
21/06/2019,1.898,1.9283,1.8839,1.9158,0.0315,1.9157,3144,2610,,,200
20/06/2019,1.8452,1.9023,1.8434,1.8843,0.0549,1.8836,2988,2928,,,400
19/06/2019,1.8346,1.8438,1.8188,1.8294,0.0016,1.828,3113,2925,,,294
18/06/2019,1.7983,1.842,1.7822,1.8278,0.0283,1.8176,4121,3981,,,233
17/06/2019,1.8334,1.8341,1.7953,1.7995,-0.0299,1.8173,4106,4175,,,309
14/06/2019,1.8039,1.8388,1.7992,1.8294,0.0228,1.827,3943,4289,,,97
13/06/2019,1.778,1.838,1.7753,1.8066,0.0267,1.816,4714,4388,,,150
12/06/2019,1.8056,1.8117,1.772,1.7799,-0.0422,1.7976,5005,4612,,,500
11/06/2019,1.8152,1.8317,1.805,1.8221,0.0158,1.8172,5563,4428,,,350
10/06/2019,1.8347,1.8403,1.8012,1.8063,-0.0185,1.8219,5438,4386,,,274
07/06/2019,1.8022,1.8335,1.7922,1.8248,0.0365,1.814,6467,4610,,,100
06/06/2019,1.7719,1.8093,1.753,1.7883,0.0083,1.7748,7533,4517,,,170
05/06/2019,1.8089,1.8166,1.7406,1.78,-0.0415,1.7772,8929,4559,,,247
04/06/2019,1.8006,1.8265,1.7826,1.8215,0.015,1.8072,12962,4700,,,100
03/06/2019,1.8353,1.8563,1.7967,1.8065,-0.0339,1.829,11624,4512,,,250
31/05/2019,1.9088,1.9111,1.8276,1.8404,-0.0779,1.8709,10061,4305,281,,87
30/05/2019,1.9718,1.981,1.911,1.9183,-0.051,1.9404,11283,4167,,,195
29/05/2019,1.9793,1.9802,1.9489,1.9675,-0.025,1.9621,2405,2685,,,250
28/05/2019,2.0021,2.0202,1.9872,1.9925,-0.0138,2.0003,5011,3155,,,200
27/05/2019,1.9868,2.0038,1.9721,2.0063,0.035,1.9858,323,3206,,,
24/05/2019,1.9714,1.9879,1.9446,1.9713,0.0089,1.9676,1695,3151,,,347
23/05/2019,2.0338,2.0375,1.9494,1.9624,-0.0867,1.9869,3064,3351,,,793
22/05/2019,2.0621,2.0701,2.0299,2.0491,-0.0303,2.0492,3017,3049,,,350
21/05/2019,2.0776,2.0841,2.0657,2.0794,0.0058,2.0739,3992,3286,,,641
20/05/2019,2.109,2.1152,2.069,2.0736,-0.0219,2.0856,5482,3553,,,450
17/05/2019,2.1267,2.1291,2.0873,2.0955,-0.0277,2.105,6419,3564,,,50
16/05/2019,2.0939,2.1374,2.0922,2.1232,0.0369,2.1217,9522,4731,,,
15/05/2019,2.0452,2.0951,2.0452,2.0863,0.0274,2.0778,5678,5111,,,324
14/05/2019,2.0316,2.0685,2.0267,2.0589,0.0205,2.052,7035,4745,,,277
13/05/2019,2.0497,2.1075,2.0275,2.0384,-0.012,2.0665,9349,4822,,,551
10/05/2019,2.0599,2.0645,2.0418,2.0504,0.0068,2.0517,6682,5017,,,400
