,0
0,120.99
1,121.15000000000002
2,121.12
3,121.04
4,121.18
5,121.16
6,121.11
7,120.95
8,120.97
9,120.85
10,120.68
11,120.74
12,120.79
13,120.95
14,121.065
15,121.24500000000002
16,121.18
17,121.18
18,121.3
19,127.29
20,128.12
21,127.76
22,128.08
23,128.255
24,128.17
25,128.16
26,128.05
27,128.2
28,128.32
29,128.61
30,128.795
31,129.35
32,129.21
33,129.35
34,129.28
35,129.25
36,129.04
37,129.77
38,129.99
39,129.8
40,129.99
41,130.42
42,129.91
43,129.76
44,128.85
45,129.26
46,128.78
47,128.76
48,128.73
49,128.51
50,128.685
51,128.455
52,128.35
53,128.3
54,128.0
55,127.855
56,127.98
57,128.23
58,128.28
59,128.245
60,128.14
61,128.22
62,128.25
63,128.13
64,127.94
65,128.125
66,128.2
67,128.16
68,128.29
69,128.49
70,128.5
71,128.28
72,129.02
73,129.04
74,129.05
75,128.79
76,128.71
77,128.78
78,128.57
79,128.46
80,128.42
81,128.53
82,128.49
83,128.46
84,128.445
85,128.42
86,128.47
87,128.375
88,128.45
89,128.5
90,128.49
91,128.58
92,128.68
93,128.85
94,128.87
95,128.915
96,129.07
97,129.78
98,130.11
99,130.28
100,130.45
101,130.22
102,130.12
103,130.23
104,130.21
105,130.05
106,130.04
107,130.2
108,130.18
109,130.21
110,130.43
111,130.42
112,130.32
113,130.18
114,130.185
115,130.15
116,130.15
117,130.21
118,130.3
119,130.11
120,130.19
121,130.27
122,130.31
123,131.04
124,131.075
125,131.545
126,131.74
127,131.92
128,131.845
129,131.94
130,131.96
131,131.88
132,131.84
133,131.86
134,131.91
135,131.895
136,131.51
137,131.77
138,131.83
139,131.89
140,131.77
141,131.61
142,131.43
143,131.255
144,131.41
145,131.57
146,131.57
147,131.54
148,131.51
149,131.63
150,131.36
151,131.59
152,131.43
153,131.5
154,131.48
155,131.52
156,131.5
157,131.47
158,131.43
159,131.6
160,131.56
161,131.54
162,131.51
163,131.58
164,131.63
165,131.63
166,131.68
167,131.725
168,131.7
169,131.77
170,131.76
171,131.89
172,131.98
173,132.13
174,132.04
175,131.76
176,131.43
177,131.19
178,131.44
179,131.52
180,131.54
181,131.59
182,131.85
183,131.8
184,131.86
185,131.86
186,131.84
187,131.87
188,131.88
189,131.88
190,131.96
191,131.995
192,132.065
193,132.21
194,132.195
195,132.225
196,132.36
197,132.35
198,132.255
199,132.35
200,132.4
201,132.77
202,132.74
203,132.46
204,132.275
205,132.48
206,132.24
207,132.29
208,132.215
209,132.27
210,132.37
211,132.31
212,132.22
213,132.19
214,132.44
215,132.47
216,132.38
217,132.46
218,132.47
219,132.47
220,132.39
221,132.24
222,132.23
223,132.25
224,132.18
225,132.2
226,132.1
227,133.7
228,133.6
229,133.74
230,133.62
231,133.66
232,133.55
233,133.37
234,133.61
235,133.71
236,133.71
237,133.74
238,133.735
239,133.745
240,133.65
241,133.585
242,133.63
243,133.52
244,133.58
245,133.62
246,133.43
247,133.43
248,133.36
249,133.55
250,133.52
251,133.525
252,133.3
253,133.62
254,133.57
255,133.67
256,133.85
257,133.61
258,133.73
259,133.99
260,134.23
261,134.09
262,134.29
263,134.22
264,134.27
265,134.43
266,134.65
267,134.9
268,134.68
269,134.765
270,134.91
271,134.84
272,134.9
273,134.97
274,134.86
275,134.83
276,134.945
277,135.06
278,135.01
279,135.69
280,136.17
281,135.51
282,135.4
283,135.48
284,135.24
285,135.23
286,135.32
287,135.06
288,135.09
289,135.03
290,135.07
291,135.08
292,134.95
293,134.73
294,134.95
295,135.07
296,135.11
297,135.13
298,135.22
299,135.29
300,135.26
301,135.27
302,135.35
303,135.48
304,135.51
305,135.36
306,135.14
307,135.18
308,135.12
309,135.28
310,135.05
311,135.17
312,135.22
313,135.165
314,135.2
315,135.18
316,135.45
317,135.445
318,135.24
319,135.26
320,135.26
321,135.2
322,135.24
323,135.345
324,135.285
325,135.165
326,135.24
327,135.325
328,135.12
329,135.25
330,135.35
331,135.27
332,135.6
333,135.47
334,135.55
335,135.355
336,135.28
337,135.235
338,135.27
339,135.35
340,135.39
341,135.45
342,135.4
343,135.37
344,135.39
345,135.43
346,135.47
347,135.49
348,135.53
349,135.48
350,135.55
351,135.54
352,135.51
353,135.45
354,135.38
355,135.425
356,135.72
357,136.36
358,136.21
359,136.28
360,136.26
361,136.46
362,136.43
363,136.49
364,136.2
365,136.225
366,136.31
367,136.22
368,136.25
369,136.26
370,136.27
371,136.27
372,136.47
373,136.38
374,136.38
375,136.49
376,136.51
377,136.51
378,136.56
379,136.58
380,136.68
381,136.67
382,136.67
383,136.18
384,136.34
385,136.54
386,136.47
387,136.51
388,136.46
389,136.65
390,136.85
391,136.97
392,137.11
393,136.82
394,137.07
395,136.76
396,136.73
397,136.64
398,136.39
399,136.34
400,136.45
401,136.65
402,136.6
403,136.525
404,136.67
405,136.68
406,136.7
407,136.66
408,136.57
409,136.75
410,136.77
411,136.7
412,136.77
413,136.79
414,136.82
415,136.78
416,136.71
417,136.56
418,136.52
419,135.9
420,135.83
421,135.35
422,135.47
423,135.73
424,135.79
425,135.92
426,135.96
427,135.9
428,135.85
429,135.845
430,135.99
431,136.17
432,136.16
433,136.05
434,136.09
435,136.155
436,136.15
437,136.07
438,136.04
439,136.08
440,135.99
441,135.99
442,136.1
443,136.34
444,136.64
445,136.67
446,137.08
447,137.24
448,137.35
449,137.25
450,137.05
451,136.99
452,137.0
453,136.9
454,137.0
455,137.01
456,137.08
457,136.99
458,136.98
459,137.14
460,137.16
461,137.08
462,137.07
463,137.035
464,137.03
465,137.06
466,136.98
467,137.03
468,137.06
469,137.01
470,136.93
471,137.04
472,136.94
473,137.27
474,137.3
475,137.26
476,137.22
477,137.12
478,137.29
479,137.31
480,137.29
481,137.04
482,136.83
483,136.96
484,136.98
485,137.13
486,137.07
487,137.18
488,137.21
489,137.09
490,137.0
491,136.97
492,136.99
493,136.99
494,136.88
495,136.72
496,136.98
497,137.94
498,138.14
499,138.41
500,138.54
501,138.64
502,138.93
503,139.24
504,139.67
505,139.56
506,139.67
507,139.96
508,139.79
509,139.87
510,139.81
511,139.815
512,139.83
513,139.87
514,139.76
515,139.73
516,139.89
517,139.99
518,140.1
519,139.93
520,139.98
521,139.99
522,139.76
523,140.0
524,139.88
525,139.7
526,139.87
527,139.75
528,139.69
529,139.49
530,139.56
531,139.4
532,139.6
533,139.62
534,139.45
535,139.49
536,139.6
537,139.28
538,139.2
539,139.06
540,139.06
541,139.18
542,139.17
543,139.155
544,139.14
545,138.95
546,138.97
547,138.8
548,138.97
549,139.19
550,139.13
551,139.28
552,139.09
553,139.0
554,139.01
555,139.08
556,139.13
557,139.01
558,139.17
559,139.28
560,139.3
561,139.43
562,139.47
563,139.6
564,139.58
565,139.58
566,139.67
567,139.69
568,139.47
569,139.56
570,139.62
571,139.67
572,139.68
573,139.675
574,139.77
575,139.41
576,139.28
577,139.04
578,138.83
579,138.92
580,138.68
581,138.83
582,138.73
583,138.61
584,138.705
585,138.62
586,138.7
587,138.75
588,138.85
589,139.19
590,139.24
591,139.2
592,139.29
593,139.27
594,139.31
595,139.39
596,139.33
597,139.41
598,139.27
599,139.49
600,139.32
601,138.81
602,139.09
603,139.34
604,139.82
605,139.84
606,139.74
607,139.68
608,139.64
609,139.74
610,139.69
611,139.51
612,139.46
613,139.57
614,139.58
615,139.68
616,139.73
617,139.58
618,139.51
619,139.53
620,139.63
621,139.61
622,139.69
623,139.6
624,139.48
625,139.33
626,139.49
627,139.26
628,139.6
629,139.32
630,139.5
631,139.51
632,139.7
633,139.65
634,139.66
635,139.37
636,139.19
637,139.15
638,139.17
639,139.31
640,139.24
641,139.36
642,139.29
643,139.345
644,139.34
645,139.29
646,138.96
